Ref,Val,Package,PosX,PosY,Rot,Side
"SW2","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",52.500000,-235.000000,90.000000,bottom
"SW3","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",71.500000,-235.000000,90.000000,bottom
"SW4","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",90.500000,-235.000000,90.000000,bottom
"SW5","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",109.500000,-235.000000,90.000000,bottom
"SW6","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",128.500000,-235.000000,90.000000,bottom
"SW7","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",147.500000,-235.000000,90.000000,bottom
"SW8","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",166.500000,-235.000000,90.000000,bottom
"SW9","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",185.500000,-235.000000,90.000000,bottom
"SW10","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",204.500000,-235.000000,90.000000,bottom
"SW11","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",223.500000,-235.000000,90.000000,bottom
"SW12","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",242.500000,-235.000000,90.000000,bottom
"SW13","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",261.500000,-235.000000,90.000000,bottom
"SW14","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",52.500000,-216.000000,90.000000,bottom
"SW15","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",71.500000,-216.000000,90.000000,bottom
"SW16","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",90.500000,-216.000000,90.000000,bottom
"SW17","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",109.500000,-216.000000,90.000000,bottom
"SW18","CherryMX","SW_Cherry-MX_1U_PCB-Mount_Kailh-Hot-Swap",128.500000,-216.000000,90.000000,bottom
